"","x","y"
"1391",19543,15435
"1392",15250,13553
"1393",19544,17175
"1394",14749,17905
"1395",16507,7894
"1396",7424,11094
"1397",13487,18051
"1398",14996,11667
"1399",15755,13842
"1400",20801,11517
"1401",6669,13560
"1402",13486,16891
"1403",8440,18346
"1404",10702,7755
"1405",7935,18056
"1406",19286,10358
"1407",11212,13266
"1408",10707,13847
"1409",13485,15730
"1410",10460,18924
"1411",16256,9780
"1412",10453,11961
"1413",12725,12685
"1414",16265,19354
"1415",19032,8762
"1416",13982,7026
"1417",10708,15007
"1418",13233,15585
"1419",19288,13259
"1420",14747,15294
"1421",12724,10654
"1422",18023,9924
"1423",20553,16884
"1424",12978,13410
"1425",7930,12544
"1426",14495,16019
"1427",8432,9352
"1428",6167,16462
"1429",16507,8185
"1430",5914,15737
"1431",13986,11378
"1432",8684,9497
"1433",17526,18628
"1434",9951,14863
"1435",9945,8481
"1436",13990,15440
"1437",19537,9052
"1438",20301,16739
"1439",15758,17034
"1440",18028,14856
"1441",12472,11089
"1442",15245,7460
"1443",15256,20515
"1444",7178,18492
"1445",14489,9347
"1446",14500,21531
"1447",14742,10362
"1448",9695,11237
"1449",20549,11662
"1450",15257,21676
"1451",6165,14431
"1452",17779,18772
"1453",12215,6593
"1454",17519,10795
"1455",20299,14999
"1456",13489,20082
"1457",12979,13990
"1458",13229,11234
"1459",12481,21533
"1460",17011,7314
"1461",12471,10509
"1462",8188,18781
"1463",18535,17176
"1464",13225,7172
"1465",12979,13700
"1466",7676,11239
"1467",16013,20079
"1468",11216,18198
"1469",10714,20809
"1470",10701,7174
"1471",13983,8187
"1472",11976,21243
"1473",10209,20520
"1474",15244,6590
"1475",9956,20085
"1476",14995,10797
"1477",18536,18917
"1478",8944,18055
"1479",9197,18200
"1480",17015,11955
"1481",11723,21099
"1482",17516,7023
"1483",6666,10659
"1484",9190,10657
"1485",16003,8765
"1486",17018,14276
"1487",16005,11086
"1488",8686,10948
"1489",10457,16603
"1490",17264,7459
"1491",20805,15869
"1492",12472,11669
"1493",19285,9488
"1494",13989,13989
"1495",12468,7608
"1496",12724,10944
